iter	Passed	Remaining
0	154	7574
1	163	3923
2	172	2705
3	181	2086
4	191	1724
5	200	1469
6	209	1289
7	218	1146
8	226	1033
9	236	946
10	245	871
11	254	806
12	263	750
13	272	700
14	281	657
15	291	619
16	301	584
17	310	552
18	320	523
19	329	494
20	339	469
21	348	443
22	357	419
23	367	397
24	375	375
25	383	354
26	393	335
27	401	315
28	410	297
29	418	279
30	428	262
31	436	245
32	444	229
33	454	213
34	463	198
35	471	183
36	479	168
37	488	154
38	497	140
39	505	126
40	514	112
41	523	99
42	532	86
43	541	73
44	550	61
45	559	48
46	568	36
47	576	24
48	587	11
49	596	0
