iter	MAPE	RMSE	R2	MAE
0	1.790087294	1337216.73	0.1375683968	889020.5851
1	1.649835656	1241232.059	0.2569346189	815269.0445
2	1.526157699	1159606.155	0.3514520614	752537.5085
3	1.414824326	1083779.696	0.4334958698	693508.5969
4	1.320909184	1017055.11	0.5011039883	645799.8986
5	1.225330252	961088.2541	0.5545001122	599993.0469
6	1.136442199	912077.8855	0.5987778401	560835.5883
7	1.066435199	865889.4725	0.6383853814	527594.1977
8	1.003414866	825615.5133	0.6712416823	499582.5591
9	0.9320384314	787153.174	0.7011594261	468494.8527
10	0.8809322028	754918.5465	0.725133856	445747.6371
11	0.8330573947	724698.0378	0.7466999761	424064.0894
12	0.7924046504	701135.5152	0.7629035821	408079.2241
13	0.747922053	675487.4159	0.7799326645	388467.4803
14	0.7120412015	655903.5143	0.7925081822	375040.4297
15	0.6816123064	637918.0621	0.803731385	362712.9467
16	0.646682471	620194.4222	0.8144859649	350137.9044
17	0.6206807847	604866.5676	0.8235424597	340303.146
18	0.5963090293	591223.0766	0.8314131042	330947.9456
19	0.5961861131	588476.8287	0.8329756485	330861.4401
20	0.565952807	574568.2742	0.8407775348	320469.0559
21	0.5657406305	571988.6771	0.8422040242	320348.3022
22	0.5434834263	559677.7705	0.8489234094	311861.0618
23	0.5433966042	557315.9054	0.8501958187	311799.3362
24	0.5432928657	555000.0573	0.8514382126	311731.87
25	0.5432288334	552977.4	0.8525190847	311684.7866
26	0.5431405675	550923.2211	0.8536127623	311629.4015
27	0.524362592	540300.8314	0.8592033468	304897.4684
28	0.5243076094	538326.206	0.860230599	304844.8689
29	0.5242569809	536442.9445	0.8612068172	304792.3638
30	0.5242099705	534601.1348	0.8621582391	304737.8798
31	0.5241757746	532903.5404	0.8630322659	304694.23
32	0.5239168134	531363.2154	0.8638229153	304615.3867
33	0.5064296308	521796.3136	0.8686823588	297532.0895
34	0.5063830419	520234.0082	0.8694675355	297486.6485
35	0.4882391813	510952.4917	0.8740836568	292272.644
36	0.4736838188	502773.1358	0.8780827414	288162.9176
37	0.4736320011	501328.4644	0.8787823704	288104.7057
38	0.4736118557	500021.1861	0.8794137272	288070.5606
39	0.4735626982	498664.1029	0.8800673936	288025.0595
40	0.4735487629	497454.6691	0.8806484447	287989.6954
41	0.4735053311	496207.7268	0.8812460387	287941.1991
42	0.45682449	489158.0911	0.8845963506	282779.3953
43	0.4565582578	488109.9971	0.8850903597	282712.9826
44	0.439738106	481001.2659	0.8884130265	278038.0867
45	0.4396990806	479894.854	0.8889257867	277999.3168
46	0.4274453634	473245.1799	0.8919826649	272829.0383
47	0.427416667	472262.08	0.8924309803	272798.1849
48	0.4199145724	466473.8439	0.8950516406	269641.3712
49	0.4198668692	465445.748	0.8955137376	269602.2759
50	0.4058431183	459418.519	0.8982022791	265733.1382
51	0.405805891	458468.5492	0.8986228315	265698.1918
52	0.4057814336	457563.8561	0.8990225306	265666.0602
53	0.3950019852	452815.9608	0.9011072366	262243.5801
54	0.3949667753	451959.8536	0.9014808223	262210.4745
55	0.3949498064	451168.2277	0.9018256406	262181.4681
56	0.3949093323	450453.488	0.9021364495	262147.1303
57	0.3904034125	445347.3306	0.9043425572	259594.359
58	0.3903423576	444664.9707	0.9046354647	259563.6713
59	0.3903203705	444014.0621	0.904914453	259529.8563
60	0.3807598375	439832.0433	0.9066971753	256460.1609
61	0.3807525665	439210.9698	0.9069604895	256434.6503
62	0.3765818051	434002.1862	0.9091541915	254445.0627
63	0.3765431919	433347.951	0.9094278755	254413.3175
64	0.3711358137	428686.492	0.911365937	251013.6727
65	0.3672504421	424557.9175	0.9130649419	249705.1266
66	0.365284404	421536.9954	0.9142977052	248340.0642
67	0.3652549894	420906.9514	0.914553701	248310.2617
68	0.3652531011	420390.0295	0.9147634478	248289.8731
69	0.3613041191	415676.5888	0.9166640884	245303.7078
70	0.361276402	415148.6149	0.916875653	245282.3979
71	0.3554268225	412546.0407	0.9179146023	243643.8082
72	0.3477398294	409393.019	0.9191645379	241191.7045
73	0.340927181	405798.0593	0.9205779685	239408.1713
74	0.3408902342	405241.4052	0.9207957137	239378.407
75	0.3407337593	404723.5839	0.9209980003	239348.9303
76	0.3406240979	404321.3219	0.9211549653	239309.6195
77	0.3376272959	400541.1104	0.9226224001	237485.3559
78	0.3361708981	398325.3801	0.9234761136	236217.862
79	0.3361137976	397748.043	0.9236977819	236174.5025
80	0.3360723583	397250.6418	0.9238885011	236142.0038
81	0.3284555733	394939.6291	0.9247714852	234047.5793
82	0.3265862839	392367.5825	0.9257481468	232986.1613
83	0.3230020942	389382.4776	0.9268736548	230690.8469
84	0.3229674801	388940.0355	0.9270397424	230663.106
85	0.3199972054	386808.0735	0.9278374087	229508.4346
86	0.3191737163	385025.0242	0.9285011637	229130.3992
87	0.3141888675	382805.6481	0.9293230607	227868.4914
88	0.3141559175	382474.7315	0.9294452014	227839.1691
89	0.3099611411	381028.7829	0.9299776589	226891.3159
90	0.3088160178	379594.9423	0.9305036662	226203.9108
91	0.3087970861	379303.2425	0.9306104341	226180.6861
92	0.3066322493	376180.4284	0.9317483031	224037.1296
93	0.3040667511	374612.3149	0.9323161335	222906.8292
94	0.3030944861	373014.8536	0.9328921521	222193.0801
95	0.2985722257	371437.7898	0.933458401	221280.0522
96	0.2949827978	369192.0199	0.93426061	219421.4364
97	0.294860397	368769.4635	0.9344110071	219397.6616
98	0.2944988779	366558.2939	0.9351952021	218689.3885
99	0.2917385531	365206.4143	0.9356723253	217832.1965
100	0.2902757132	363271.9035	0.9363520121	217121.2917
101	0.2887501089	361978.9862	0.9368042636	216387.3827
102	0.2887720122	361622.0469	0.936928834	216361.7889
103	0.2881509675	360317.8395	0.937382952	215830.1916
104	0.2880674377	359775.0913	0.9375714506	215750.2321
105	0.287531336	358496.1128	0.938014521	215216.3785
106	0.2873699315	358160.0887	0.9381306665	215166.1061
107	0.286855447	356487.4723	0.9387071798	214434.4528
108	0.286892524	356161.062	0.9388193714	214404.454
109	0.2869020112	355870.8926	0.9389190202	214381.1769
110	0.2833861763	354551.7229	0.9393710203	212952.2257
111	0.2829723074	353669.2482	0.9396724542	212591.6624
112	0.2819140911	352622.1115	0.9400291584	212023.9052
113	0.2808352241	351351.2691	0.9404606467	211572.4876
114	0.2803272838	350047.6564	0.9409016428	210995.2133
115	0.2791965715	348284.4645	0.9414955009	209876.2422
116	0.2788577252	347134.3205	0.9418812631	209356.4263
117	0.2788152642	346827.6241	0.9419839146	209322.2256
118	0.275258723	345712.8074	0.9423562803	208452.5966
119	0.2752288072	345399.7401	0.942460634	208426.2086
120	0.2751980342	345161.9493	0.9425398327	208400.8068
121	0.2736785883	344147.566	0.9428770715	207839.8096
122	0.2733603875	342672.4049	0.9433657277	207163.539
123	0.2733154146	342452.3107	0.9434384553	207142.2378
124	0.2730715767	341014.07	0.9439125551	206455.6711
125	0.2728892221	339919.9045	0.944271898	206141.4897
126	0.2726867047	338497.2989	0.9447373795	205534.7012
127	0.2697774495	337660.147	0.9450103861	204582.5826
128	0.2694156282	336049.5377	0.9455337263	203635.4404
129	0.2685626545	335128.6566	0.9458318266	203341.056
130	0.2685262364	334887.9975	0.945909596	203313.1134
131	0.2684959335	334678.9654	0.9459770998	203289.5371
132	0.2682088707	333475.0037	0.9463650806	202662.2099
133	0.2668295402	332567.4117	0.946656631	202074.4432
134	0.2668187079	332335.5405	0.9467309887	202055.9387
135	0.2664614627	331089.3263	0.9471297432	201663.4803
136	0.2636877485	329953.7866	0.9474917803	200908.6933
137	0.2634632739	328777.626	0.9478654571	200249.9759
138	0.2625510479	328001.1044	0.9481114336	199673.0987
139	0.262404365	327125.785	0.9483880087	199464.681
140	0.262167977	326154.1033	0.9486941658	199055.3346
141	0.2605909522	325367.4968	0.9489413424	198594.4358
142	0.260475819	324322.5873	0.949268763	197996.0961
143	0.2595199324	322904.1583	0.9497115401	196825.1586
144	0.2580617982	321641.7569	0.9501039793	196054.4072
145	0.2572505828	320949.3266	0.9503185803	195593.9255
146	0.2572223365	320763.8761	0.9503759775	195577.8785
147	0.2563471989	319770.8359	0.9506827599	194993.7969
148	0.2563287256	319611.2259	0.9507319799	194981.5794
149	0.2561675345	318591.0789	0.951045989	194397.2382
