iter	Passed	Remaining
0	11	55171
1	21	54927
2	33	56002
3	45	56698
4	56	56084
5	66	55352
6	76	54635
7	86	54268
8	97	53962
9	108	54189
10	117	53509
11	127	53142
12	138	53074
13	148	53000
14	158	52738
15	169	52744
16	179	52602
17	188	52252
18	198	52086
19	208	51895
20	218	51912
21	229	51821
22	238	51662
23	247	51320
24	257	51156
25	266	50978
26	275	50780
27	285	50696
28	294	50510
29	303	50307
30	312	50072
31	322	50072
32	332	50017
33	342	49991
34	351	49893
35	361	49825
36	371	49854
37	381	49781
38	390	49677
39	401	49745
40	411	49754
41	420	49631
42	429	49565
43	440	49574
44	449	49523
45	458	49416
46	468	49370
47	477	49269
48	486	49203
49	496	49144
50	505	49083
51	515	49069
52	525	49074
53	535	49062
54	544	48994
55	555	49024
56	564	48995
57	574	48992
58	585	49004
59	594	48978
60	604	48910
61	613	48870
62	623	48897
63	632	48818
64	643	48833
65	652	48794
66	661	48727
67	671	48715
68	681	48673
69	691	48688
70	700	48656
71	710	48659
72	720	48619
73	730	48635
74	740	48615
75	749	48579
76	759	48584
77	769	48581
78	779	48557
79	788	48493
80	797	48454
81	807	48415
82	816	48399
83	828	48464
84	837	48435
85	847	48399
86	856	48370
87	866	48362
88	875	48328
89	885	48300
90	894	48255
91	903	48213
92	914	48246
93	924	48249
94	934	48240
95	944	48229
96	953	48206
97	963	48176
98	972	48167
99	982	48166
100	993	48176
101	1002	48160
102	1012	48114
103	1021	48104
104	1031	48093
105	1040	48062
106	1050	48017
107	1059	48003
108	1069	47996
109	1078	47943
110	1089	47974
111	1099	47971
112	1108	47953
113	1119	47960
114	1129	47958
115	1138	47936
116	1148	47932
117	1158	47939
118	1168	47931
119	1178	47907
120	1186	47859
121	1196	47827
122	1206	47821
123	1215	47795
124	1225	47791
125	1235	47776
126	1244	47764
127	1254	47750
128	1264	47750
129	1275	47764
130	1284	47744
131	1294	47731
132	1304	47728
133	1314	47726
134	1323	47685
135	1332	47664
136	1342	47647
137	1351	47633
138	1363	47678
139	1373	47673
140	1383	47662
141	1392	47635
142	1402	47633
143	1412	47645
144	1422	47639
145	1432	47629
146	1441	47598
147	1451	47598
148	1461	47568
149	1473	47633
150	1484	47670
151	1494	47678
152	1505	47686
153	1515	47681
154	1524	47652
155	1534	47641
156	1543	47610
157	1553	47594
158	1563	47608
159	1573	47584
160	1582	47552
161	1592	47569
162	1602	47560
163	1612	47553
164	1622	47538
165	1632	47542
166	1642	47541
167	1653	47555
168	1663	47556
169	1673	47546
170	1683	47547
171	1694	47550
172	1703	47537
173	1713	47521
174	1723	47510
175	1732	47496
176	1742	47484
177	1752	47471
178	1761	47451
179	1771	47435
180	1781	47424
181	1791	47424
182	1800	47405
183	1810	47399
184	1821	47418
185	1831	47408
186	1841	47388
187	1851	47389
188	1861	47376
189	1870	47363
190	1880	47350
191	1889	47324
192	1899	47316
193	1909	47297
194	1919	47291
195	1928	47262
196	1938	47266
197	1950	47310
198	1960	47303
199	1971	47316
200	1981	47307
201	1991	47305
202	2002	47318
203	2012	47320
204	2022	47305
205	2031	47285
206	2041	47265
207	2050	47236
208	2060	47230
209	2070	47232
210	2080	47210
211	2089	47193
212	2099	47178
213	2109	47180
214	2119	47170
215	2130	47176
216	2140	47174
217	2149	47154
218	2159	47148
219	2169	47143
220	2178	47114
221	2188	47109
222	2198	47095
223	2208	47085
224	2217	47061
225	2226	47042
226	2236	47026
227	2246	47021
228	2256	47011
229	2266	46998
230	2275	46979
231	2285	46972
232	2295	46964
233	2305	46956
234	2316	46964
235	2328	47008
236	2339	47015
237	2350	47030
238	2359	47010
239	2370	47007
240	2379	46993
241	2388	46968
242	2398	46962
243	2408	46952
244	2418	46930
245	2427	46916
246	2438	46923
247	2449	46937
248	2460	46946
249	2470	46942
250	2480	46925
251	2489	46910
252	2499	46897
253	2509	46889
254	2519	46882
255	2530	46890
256	2540	46882
257	2552	46906
258	2562	46902
259	2572	46891
260	2582	46891
261	2592	46880
262	2601	46864
263	2611	46855
264	2621	46841
265	2631	46834
266	2642	46834
267	2651	46824
268	2661	46802
269	2671	46798
270	2681	46789
271	2691	46784
272	2701	46784
273	2711	46769
274	2721	46766
